Make_Model,Country_of_Origin
GMC Yukon,Unknown
Acura TL,Unknown
Pontiac Grand Am,Unknown
Acura Integra,Unknown
GMC Pickup (Full Size),Unknown
VW Golf,Unknown
Pontiac Grand Prix,Unknown
Seat Leon,Unknown
Hyundai Sonata,South Korea
Hyundai Elantra,South Korea
Toyota Camry,Japan
Nissan Frontier,Japan
Honda Civic,Japan
Toyota Tacoma,Japan
Subaru Legacy,Japan
Toyota 4Runner,Japan
Nissan Maxima,Japan
Subaru Impreza,Japan
Toyota Corolla,Japan
Nissan Sentra,Japan
Honda CR-V,Japan
Honda Accord,Japan
Toyota Avalon,Japan
Nissan Altima,Japan
Ford Focus,America
Ford Econoline E350,America
Ford Taurus,America
Dodge Charger,America
Chevrolet Malibu,America
Chevrolet Trailblazer,America
Chevrolet Impala,America
Dodge Durango,America
Chevrolet Cobalt,America
Dodge Intrepid,America
Chevrolet Pickup (Small Size),America
Dodge Caravan,America
Chevrolet Cavalier,America
Ford Fusion,America
Chrysler Town & Country,America
Dodge Stratus,America
Chevrolet Pickup (Full Size),America
Chrysler 300/300M,America
Dodge Pickup (Full Size),America
Ford Mustang,America
Ford Pickup (Small Size),America
Jeep Cherokee/Grand Cherokee,America
Ford Crown Victoria,America
Ford Explorer,America
Ford Pickup (Full Size),America
Chevrolet Tahoe,America
